topic: 美国暴力执法，黑人遭枪击，身中20枪，身亡。
我也看见啦 1
你这样说，我们的国家会被灭亡的 1
哈哈，你也是个人才啊！ 1
哈哈哈哈哈哈哈哈哈哈哈，你这个人真的很过份 1
这是哪？ 1
我们的国家是强国 1
你不知道的是，现在国外的国旗都被撕下来了。。。 1
你这样做就有点过分了。 1
这个我知道。 1
我也是，这么说我也不敢去了 1
不是吧，这样啊，那还好，我们这儿也是这样， 1
你这样说话真的不好 1
这个我知道，我的意思是，美国是黑人多的地方，所以要被枪击 1
我也是看这段话 1
我们国家的黑人，你们国家的白人呢？ 1
这是哪国啊，好神奇 1
哈哈哈哈哈哈哈哈哈， 1
这种事情我不知道，我就是看热闹 1
我们的目标 1
你是不是有病，我说的是这种事 1
哈哈哈。 1
你这样一讲，我想起来，还有人杀你，我也想到了 1
你是说那个人吗？ 1
这个不能算黑人。 1
不会吧，你这么惨 1
我觉得你说的很有道理 1
哈哈，你是说你吗 1
你是不是有毒啊 1
你的思想很危险 1
你说得太有道理了！！！！ 1
我们不知道 1
这是哪国啊 1
这种事情我们这里很少有。 1
你的心理承受能力有问题 1
这个不是黑人。。 1
哈哈哈哈哈哈哈哈哈哈哈哈哈，这个好笑 1
你这个人真可笑 1
不会吧。。。 1
你不会被杀了吧 1
哈哈哈哈哈！ 1
你这种人活该被枪击 1
这个好， 1
你这是什么意思？ 1
这是真的吗，我也要看。。。 1
你的意思是你被枪击？ 1
你不知道有种东西叫枪击证据吗？ 1
这个我服气 1
这么厉害？ 1
你这是要笑死我啊哈哈哈 1
你这个人真是不要脸 1
你是不是在黑？ 1
这么惨的吗？ 1
我也是看到这句话，才知道原来是这样的 1
不是黑人，是一头猪！ 1
我也想问这个 1
我不想听这个，我就是想看看你们都说的是什么 1
哈哈哈，我们这个不是，就算有人杀我们我们也不会杀你们 1
你是怎么了？ 1
你说的很有道理！ 1
我们国外不是有一个军人在国内吗？ 1
你是不是在说你啊？ 1
不是吧！！！ 1
这是什么梗？？ 1
你的脑洞好大 1
这个真的很难理解。。 1
你这个是什么鬼逻辑，我的意思是你说的是真的吗？ 1
你这个不是很正常的吗？ 1
不是黑人吧。。 1
你这么一说，我还真想起来了！ 1
这个真是很恐怖 1
不知是不是这样 1
这是一部电影吗 1
这种事情还能有人管？ 1
我不知道你说的那个是不是真的，你要是不信我就告诉你 1
这种事情不能曝光， 1
我觉得你这个比较厉害啊！ 1
这个真是太可怕了 1
我看你是没看懂 1
哈哈哈，你这个厉害了 1
你是怎么想的？这么残忍？ 1
这样说的话我就信了 1
你不要吓我啊，你怎么知道的？ 1
你这个是啥意思啊？？？ 1
我也想知道是不是真的 1
不是说美国有毒吗 1
我觉得你这种说法很欠揍 1
我看你的名字就知道你是个有故事的人 1
你说的这个是真的？ 1
哈哈，你是不是傻啊！ 1
你不说，我都没看到 1
我看到了，我的天呐 1
不是一次两次了 1
这个我知道，但是这个真的不是暴力执法，是严重的暴击。。。 1
我看到了，你的枪 1
不是一个人，是整体 1
我也想说这句 1
你不会是在说你自己吧 1
你这种人不是一般的多，你是个好人 1
这种事情不能说啊，说了也是白说， 1
你说这个，我也是醉了 1
你的脑子有病啊 1
你的意思是你的枪打不进来？？ 1
我看的时候也觉得是这样的 1
我们不能让黑人活下去 1
这是什么电影 1
你这样一说我觉得我还是有点可怜的 1
不是说你 1
哈哈哈哈哈哈哈哈哈哈，笑疯 1
你这是在黑他吗？ 1
你的意思是说，我们的国家不是美人？ 1
我也想说，我身边有人也这样 1
你这是在哪呢，这么惨，这么可怜 1
你不是在国内嘛 1
这样说来我还真不知道是哪国的 1
这是啥 1
你说的是那国？ 1
你这样的人，活的真累。 1
我看过这部电影，很不错 1
你是在说你吗 1
